MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,YearBuilt,RoofStyle,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,Fence,MiscVal,SaleType,SaleCondition,SalePrice,MasVnr,SecondFloor,Baths,Porch,Pool
G,RH,0.1859450783349035,1.0,Lvl,Inside,Edwards,Artery,1Fam,2Story,0.5555555555555556,0.38405797101449274,Gambrel,CompShg,Wd Sdng,0.3333333333333333,BrkTil,TA,TA,No,0.2096069868995633,0.5,0.0,0.24987928536938678,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Detchd,Unf,0.2158273381294964,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.4,True,0.0
A,RL,0.1988904009211766,1.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.6376811594202898,Gable,CompShg,Wd Sdng,0.3333333333333333,CBlock,TA,TA,No,0.31503431066749843,1.0,1.0,0.19314340898116852,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,RFn,0.18273381294964028,TA,TA,Y,1.0,0.0,WD,Family,Level2,1.0,0.0,0.0,True,0.0
L,RL,0.2606162113123277,1.0,Lvl,Corner,NridgHt,Norm,Twnhs,1Story,0.8888888888888888,0.9855072463768116,Hip,CompShg,MetalSd,1.0,PConc,Ex,TA,No,0.5308796007485964,1.0,1.0,0.3302752293577982,0.125,0.3333333333333333,1.0,0.4166666666666667,Typ,0.3333333333333333,Gd,Attchd,Fin,0.7568345323741007,TA,TA,Y,0.0,0.0,New,Partial,Level4,1.0,0.0,0.4,True,0.0
A,RL,0.2512299801109599,1.0,Lvl,Inside,NAmes,Norm,1Fam,1Story,0.4444444444444444,0.644927536231884,Hip,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.38521522145976295,0.5,1.0,0.21752776436504104,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,Unf,0.34532374100719426,TA,TA,Y,1.0,0.0,WD,Abnorml,Level1,1.0,0.0,0.0,False,0.0
E,RL,0.17418611954359886,1.0,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,0.6666666666666666,0.4057971014492754,Gable,CompShg,Wd Sdng,0.3333333333333333,BrkTil,TA,TA,No,0.2685589519650655,0.75,1.0,0.27595364558184454,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.3333333333333333,Gd,Detchd,Unf,0.1553956834532374,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.4,True,0.0
A,RL,0.866813217488398,0.0,Lvl,CulDSac,Mitchel,Norm,1Fam,1Story,0.4444444444444444,0.6521739130434783,Gable,CompShg,HdBoard,0.3333333333333333,CBlock,TA,TA,No,0.3705552089831566,0.5,1.0,0.2061805890873974,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,Typ,0.0,NoFireplace,Attchd,Unf,0.22446043165467625,TA,TA,P,0.0,0.0,WD,Normal,Level2,1.0,0.0,0.0,True,0.0
A,RL,0.5140793468020517,0.0,Lvl,FR,NridgHt,Norm,1Fam,1Story,0.8888888888888888,0.9565217391304348,Hip,CompShg,VinylSd,0.6666666666666666,PConc,Ex,TA,Gd,0.5717404865876482,1.0,1.0,0.3660067600193143,0.375,0.3333333333333333,0.6666666666666666,0.5,Typ,0.3333333333333333,Gd,Attchd,Fin,0.5553956834532374,TA,TA,Y,0.0,0.0,WD,Normal,Level4,1.0,0.0,0.4,True,0.0
A,RL,0.29725391674517604,0.0,Lvl,Inside,Sawyer,Norm,1Fam,1Story,0.4444444444444444,0.6884057971014492,Gable,CompShg,MetalSd,0.3333333333333333,CBlock,TA,TA,No,0.27510917030567683,0.5,1.0,0.13664896185417671,0.375,0.3333333333333333,0.3333333333333333,0.25,Typ,0.0,NoFireplace,Detchd,Unf,0.2014388489208633,TA,TA,Y,1.0,0.0,WD,Normal,Level2,1.0,0.0,0.0,False,0.0
E,RL,0.2869953592239785,1.0,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,0.5555555555555556,0.5942028985507246,Gable,CompShg,Wd Sdng,0.3333333333333333,CBlock,TA,Fa,No,0.31004366812227074,0.75,1.0,0.36721390632544665,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,Typ,0.0,NoFireplace,Attchd,Unf,0.23381294964028776,TA,TA,Y,0.0,0.0,WD,Normal,Level2,0.0,1.0,0.2,True,0.0
A,RL,0.3679123486513835,0.0,Lvl,Inside,StoneBr,Norm,1Fam,1Story,0.7777777777777778,0.9855072463768116,Hip,CompShg,VinylSd,0.6666666666666666,PConc,Ex,TA,Mn,0.6381784154709919,1.0,1.0,0.4133268952197006,0.375,0.3333333333333333,0.6666666666666666,0.4166666666666667,Typ,0.3333333333333333,Gd,Attchd,Fin,0.6,TA,TA,Y,0.0,0.0,New,Partial,Level4,1.0,0.0,0.4,True,0.0
